Category,Fee_Head,Target_Cohort,Amount_INR,Standard_Due_Date,Grace_Period_End,Late_Fee_INR,Late_Fee_Window_Close,Penalty_After_Final_Deadline,Governing_Authority
Tuition,Undergraduate Semester Tuition Fee,All B.Tech/B.Pharm Students,47500,2024-07-25,2024-08-05,100 per day,2024-10-31,Mandatory semester debarment and ERP credential deactivation; zero extension beyond 31st October,Finance & Accounts Division
Tuition,Postgraduate Semester Tuition Fee,All M.Tech/MCA/MBA Students,52000,2024-07-25,2024-08-05,100 per day,2024-10-31,De-registration from semester courses; zero extension beyond 31st October,Finance & Accounts Division
Tuition,Doctoral Research Continuation Fee,Enrolled Ph.D. Scholars,22000,2024-08-10,2024-08-20,150 per day,2024-10-31,Cancellation of research fellowship; zero extension beyond 31st October,Dean Research & Consultancy
Examination,End-Semester Regular Examination Fee,All Eligible Examinees,2500,2024-10-10,2024-10-18,500 flat,2024-10-31,Debarment from sitting in End-Semester Examinations; admit card revoked,Controller of Examinations
Examination,Backlog Remedial Examination Fee,Students with ATKT Backlogs,600 per paper,2024-10-15,2024-10-22,200 flat,2024-10-31,Ineligibility to appear for remedial papers in winter break,Controller of Examinations
Examination,Challenge Re-Evaluation Scrutiny Fee,Grievance Applicants,1500 per paper,Within 10 days of result,None,Nil,2024-10-31,Re-evaluation application rejected summarily,Standing Evaluation Committee
Hostel,Hostel Room Rent and Maintenance,All Resident Hostellers,31450,2024-07-20,2024-08-01,100 per day,2024-10-31,Eviction from hostel allotment; room padlocked on 1st November,Chief Warden Office
Hostel,Hostel Cooperative Mess Advance,All Mess Diners,16500,2024-07-20,2024-08-01,50 per day,2024-10-31,Immediate mess dining debarment; dining card confiscated,Mess Management Council
Hostel,Hostel Caution Deposit (Refundable),New Hostel Allottees,5000,At time of allotment,None,Nil,2024-08-15,Allotment cancelled and offered to waitlist candidates,Chief Warden Office
Development,Central Library & Digital Knowledge Fee,All Enrolled Students,2000,2024-07-25,2024-08-05,50 per day,2024-10-31,Revocation of library RFID access card and digital portal login,Central Library Advisory Board
Development,Laboratory & Computational Infrastructure,Engineering Students,3500,2024-07-25,2024-08-05,50 per day,2024-10-31,Suspension of departmental computer laboratory privileges,Central Computer Centre
Activity,Student Sports & Cultural Activities Fund,All Enrolled Students,1200,2024-07-25,2024-08-05,Nil,2024-10-31,Debarment from gymkhana and inter-college sports trials,Dean Student Welfare
Placement,Campus Placement Registration Levy,Final Year Pre-Placement Candidates,4000,2024-08-15,2024-08-25,500 flat,2024-10-31,Exclusion from on-campus corporate recruitment drives,Training & Placement Cell
Administrative,Late Course Registration Surcharge,Delayed Enrollees,1000 flat,2024-08-01,2024-08-08,Nil,2024-08-10,Total refusal of course enrollment for current academic semester,Dean Academic Affairs
Administrative,Official Degree Transcript and Verification,Graduating Batches & Alumni,1000,On Application,None,Nil,Rolling,Application kept in abeyance pending settlement,Academic Section
Administrative,Smart Biometric Identity Card Replacement,Students Losing RFID Badges,500,Immediate,None,Nil,Rolling,Turnstile library and hostel access revoked until replaced,Chief Proctor Office
Administrative,Formal Re-admission Fee After Temporary Discontinuation,Returning Approved Discontinued Scholars,7500,2024-07-20,2024-07-31,250 per day,2024-10-31,Permanent striking off from institutional roll,Dean Academic Affairs
Certification,Annual Convocation Robe and Degree Folder Fee,Graduating Degree Recipients,2000,2024-11-01,2024-11-15,300 flat,2024-11-20,Degree conferred in absentia with postal surcharge,Controller of Examinations
Research,Doctoral Comprehensive Viva and Thesis Defense Fee,Ph.D. Final Stage Scholars,15000,At time of synopsis submission,None,Nil,Rolling,Withholding of external defense panel constitution,Dean Research & Consultancy
Hostel,Hostel Room Key Replacement & Lock Re-keying Penalty,Hostellers Losing Keys,800,Immediate,None,Nil,Rolling,Debarment from room entry until locksmith re-keys,Hostel Caretaker Office
Workshop,Standard Workshop Tool Damage Assessment Minimum Levy,Students Infringing SOPs,1200,Within 5 days of incident,None,Nil,2024-10-31,Debarment from continuous evaluation practical marks,Central Workshop Superintendent
Remedial,Special Summer/Winter Term Remedial Course Fee,Undergraduate Students Repeating Courses,4500 per course,2024-11-01,2024-11-10,500 flat,2024-11-15,Inability to enroll in accelerated remedial classes,Dean Academic Affairs
Affidavit,Migration and Character Certificate Issuance Surcharge,Alumni & Transfer Students,600,On Application,None,Nil,Rolling,Certificate withheld until dues cleared,Academic Section
